partner_label,time_period,total_by_all_partners,thousand_euros
Egypt,2009,8797932.1,71731
Egypt,2010,13192256.9,259141.7
Egypt,2011,15710445.5,345136.8
Egypt,2012,15653122.2,314938.6
Egypt,2013,12322876.1,295321.4
Egypt,2014,11724045.5,277844.6
Egypt,2015,10380729.7,96196.4
Egypt,2016,9995842.4,63637.2
Egypt,2017,12425160.7,133551.3
Egypt,2018,13103782,209861.8
Egypt,2019,13389584.7,266969.7
Egypt,2020,12961870.8,252818.3
Egypt,2021,20014174.6,666891.2
